rank,title,year,rating,genres,runtime,director,total revenue
228,Kaze no tani no Naushika,(1984),8.0,Animation,1h 57min,Hayao Miyazaki,"$8,734,155"
229,Rang De Basanti,(2006),8.0,Comedy,2h 47min,Rakeysh Omprakash Mehra,"$8,846,694"
230,La haine,(1995),8.0,Crime,1h 38min,Mathieu Kassovitz,"$280,859"
231,Rocky,(1976),8.0,Drama,2h,John G. Avildsen,"$117,235,147"
232,Gangs of Wasseypur,(2012),8.0,Action,5h 21min,Anurag Kashyap,"$4,384,642"
233,"Monsters, Inc.",(2001),8.0,Animation,1h 32min,Pete Docter,"$578,981,070"
234,Rebecca,(1940),8.0,Drama,2h 10min,Alfred Hitchcock,"$72,275"
235,Portrait de la jeune fille en feu,(2019),8.0,Drama,2h 2min,Céline Sciamma,"$9,919,850"
236,Before Sunset,(2004),8.0,Drama,1h 20min,Richard Linklater,"$15,936,507"
237,It Happened One Night,(1934),8.0,Comedy,1h 45min,Frank Capra,None
238,Fa yeung nin wah,(2000),8.0,Drama,1h 38min,Kar-Wai Wong,"$12,854,953"
239,The Circus,(1928),8.0,Comedy,1h 12min,Charles Chaplin,"$26,916"
240,Drishyam,(2015),8.0,Crime,2h 43min,Nishikant Kamat,None
241,"Paris, Texas",(1984),8.0,Drama,2h 25min,Wim Wenders,"$2,206,121"
242,Contratiempo,(2016),8.0,Crime,1h 46min,Oriol Paulo,"$31,191,910"
243,The Help,(2011),8.0,Drama,2h 26min,Tate Taylor,"$216,639,112"
244,The Princess Bride,(1987),8.0,Adventure,1h 38min,Rob Reiner,"$30,882,762"
245,La battaglia di Algeri,(1966),8.0,Drama,2h 1min,Gillo Pontecorvo,"$964,028"
246,The Terminator,(1984),8.0,Action,1h 47min,James Cameron,"$78,680,331"
247,Trois couleurs: Rouge,(1994),8.0,Drama,1h 39min,Krzysztof Kieslowski,"$3,581,969"
248,Moksoriui hyeongtae,(2016),8.0,Animation,2h 10min,Naoko Yamada,"$30,490,447"
249,Kumonosu-jô,(1957),8.0,Drama,1h 50min,Akira Kurosawa,"$46,808"
250,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),8.0,Animation,1h 27min,Hideaki Anno,None
